angle,speed,season,time
0,12.0,Spring,Morning
30,16.33012701892219,Spring,Morning
60,16.330127018922195,Spring,Morning
90,12.0,Spring,Morning
120,7.669872981077808,Spring,Morning
150,7.669872981077807,Spring,Morning
180,11.999999999999998,Spring,Morning
210,16.330127018922195,Spring,Morning
240,16.330127018922195,Spring,Morning
270,12.000000000000002,Spring,Morning
300,7.669872981077806,Spring,Morning
330,7.669872981077805,Spring,Morning
360,11.999999999999998,Spring,Morning
0,18.0,Spring,Evening
30,22.33012701892219,Spring,Evening
60,22.330127018922195,Spring,Evening
90,18.0,Spring,Evening
120,13.669872981077809,Spring,Evening
150,13.669872981077807,Spring,Evening
180,18.0,Spring,Evening
210,22.330127018922195,Spring,Evening
240,22.330127018922195,Spring,Evening
270,18.000000000000004,Spring,Evening
300,13.669872981077805,Spring,Evening
330,13.669872981077805,Spring,Evening
360,17.999999999999996,Spring,Evening
0,8.0,Summer,Morning
30,12.330127018922193,Summer,Morning
60,12.330127018922195,Summer,Morning
90,8.0,Summer,Morning
120,3.669872981077808,Summer,Morning
150,3.6698729810778072,Summer,Morning
180,7.999999999999999,Summer,Morning
210,12.330127018922195,Summer,Morning
240,12.330127018922195,Summer,Morning
270,8.000000000000002,Summer,Morning
300,3.6698729810778064,Summer,Morning
330,3.6698729810778046,Summer,Morning
360,7.999999999999997,Summer,Morning
0,12.0,Summer,Evening
30,16.33012701892219,Summer,Evening
60,16.330127018922195,Summer,Evening
90,12.0,Summer,Evening
120,7.669872981077808,Summer,Evening
150,7.669872981077807,Summer,Evening
180,11.999999999999998,Summer,Evening
210,16.330127018922195,Summer,Evening
240,16.330127018922195,Summer,Evening
270,12.000000000000002,Summer,Evening
300,7.669872981077806,Summer,Evening
330,7.669872981077805,Summer,Evening
360,11.999999999999998,Summer,Evening
0,16.0,Fall,Morning
30,20.33012701892219,Fall,Morning
60,20.330127018922195,Fall,Morning
90,16.0,Fall,Morning
120,11.669872981077809,Fall,Morning
150,11.669872981077807,Fall,Morning
180,15.999999999999998,Fall,Morning
210,20.330127018922195,Fall,Morning
240,20.330127018922195,Fall,Morning
270,16.000000000000004,Fall,Morning
300,11.669872981077805,Fall,Morning
330,11.669872981077805,Fall,Morning
360,15.999999999999998,Fall,Morning
0,24.0,Fall,Evening
30,28.33012701892219,Fall,Evening
60,28.330127018922195,Fall,Evening
90,24.0,Fall,Evening
120,19.66987298107781,Fall,Evening
150,19.66987298107781,Fall,Evening
180,24.0,Fall,Evening
210,28.330127018922195,Fall,Evening
240,28.330127018922195,Fall,Evening
270,24.000000000000004,Fall,Evening
300,19.669872981077805,Fall,Evening
330,19.669872981077805,Fall,Evening
360,23.999999999999996,Fall,Evening
